(0,415)
(0,410)
(0,405)
(0,395)
(0,385)
(0,375)
(0,385)
(0,395)
(0,405)
(0,410)
(0,415)
(0,425)
(0,435)
(0,445)
(0,435)
(0,425)
(0,415)
(0,410)
(0,405)
(0,395)
(0,385)
(0,375)
(0,385)
(0,395)
(0,405)
(0,410)
(0,415)
(0,425)
(0,435)
(0,445)
(0,435)
(0,425)
(0,415)
(0,410)
(0,405)
(0,395)
(0,385)
(0,375)
(0,385)
(0,395)
(0,405)
(0,410)
(0,415)
(0,425)
(0,435)
(0,445)
(0,435)
(0,425)
(0,415)
(0,410)
(0,405)
(0,395)
(0,385)
(0,375)
(0,385)
(0,395)
(0,405)
(0,410)
(0,415)
(0,425)
(0,435)
(0,445)
(0,435)
(0,425)
(0,415)
